Survived,FirstClass,SecondClass,ThirdClass,Sex,Age,SibSp,Parch,Fare
1,0,0,1,1,0.2625,0.0,0.0,0.0149318055656
0,0,0,1,0,0.475,0.0,0.0,0.0154115752137
0,1,0,0,0,0.5875,0.0,0.0,0.101497240446
0,0,0,1,1,0.18125,0.2,0.0,0.028212719478
0,0,0,1,0,0.275,0.0,0.0,0.0157125535691
0,0,0,1,1,0.25,0.2,0.0,0.0191771228343
0,0,0,1,1,0.2125,0.0,0.0,0.0282207221451
0,0,0,1,0,0.2625,0.0,0.0,0.015468569818
0,0,0,1,0,0.88125,0.0,0.0,0.0151269925665
0,0,1,0,0,0.3625,0.2,0.0,0.0409892701802
0,1,0,0,0,0.3,0.0,0.166666666667,0.48312842602
0,0,0,1,1,0.025,0.8,0.333333333333,0.0610447345184
0,0,1,0,0,0.2625,0.4,0.0,0.143462445631
0,0,1,0,0,0.40625,0.2,0.0,0.058694292654
1,0,1,0,1,0.40625,0.0,0.0,0.0253743101115
0,1,0,0,0,0.675,0.0,0.166666666667,0.150855153288
1,0,0,1,0,0.15,0.2,0.0,0.0219423370755
1,0,0,1,0,0.3,0.0,0.0,0.0139396700403
0,0,0,1,0,0.5625,0.0,0.0,0.0136142933098
0,0,0,1,0,0.4125,0.0,0.0,0.0154115752137
0,0,0,1,0,0.25,0.0,0.0,0.0137606835605
0,0,0,1,1,0.5875,0.2,0.0,0.0283021151244
1,0,1,0,1,0.3625,0.2,0.0,0.0507486202231
0,0,1,0,0,0.3125,0.0,0.0,0.0253743101115
0,0,1,0,0,0.2875,0.0,0.0,0.0293674457751
1,1,0,0,1,0.2375,0.0,0.333333333333,0.0513015849965
0,1,0,0,0,0.4625,0.2,0.0,0.103644297456
0,0,0,1,0,0.2,0.0,0.0,0.0179898003081
0,1,0,0,0,0.3,0.0,0.0,0.15458810468
1,0,0,1,1,0.275,0.0,0.0,0.0151269925665
1,0,0,1,1,0.3,0.2,0.0,0.030937139636
0,0,0,1,0,0.2375,0.0,0.0,0.0131751225579
0,0,1,0,0,0.225,0.0,0.0,0.0224465050987
0,0,1,0,0,0.2375,0.2,0.166666666667,0.0717312228153
1,0,0,1,0,0.3375,0.0,0.0,0.0152163882129
0,0,0,1,1,0.1125,0.4,0.333333333333,0.067095531545
0,0,1,0,0,0.45625,0.0,0.333333333333,0.0507486202231
0,0,1,0,0,0.525,0.0,0.0,0.0253743101115
0,0,1,0,0,0.6375,0.0,0.0,0.0244471718575
1,1,0,0,1,0.275,0.2,0.0,0.129994542571
0,0,0,1,0,0.69375,0.0,0.0,0.0157125535691
0,0,0,1,0,0.50625,0.0,0.333333333333,0.0283021151244
0,1,0,0,0,0.6375,0.0,0.166666666667,0.119804219631
1,0,0,1,1,0.2,0.0,0.0,0.0150943963374
0,0,0,1,0,0.375,0.0,0.0,0.0157125535691
0,0,0,1,0,0.55,0.0,0.166666666667,0.0314251071381
1,0,1,0,1,0.5,0.0,0.0,0.0307419526351
0,0,0,1,0,0.325,0.0,0.0,0.0151757893167
0,0,0,1,0,0.2125,0.0,0.0,0.0169080739493
0,0,0,1,0,0.0125,0.8,0.166666666667,0.0774648409655
1,0,0,1,0,0.1125,0.0,0.333333333333,0.0400621319261
0,0,0,1,1,0.5625,0.2,0.666666666667,0.0544571732394
0,0,0,1,0,0.35,0.0,0.0,0.110272457631
0,1,0,0,0,0.7625,0.0,0.0,0.0653876452874
0,0,0,1,0,0.05,0.8,0.166666666667,0.0568482139999
1,0,0,1,1,0.0125,0.2,0.166666666667,0.0217307543665
0,0,0,1,0,0.2625,0.0,0.0,0.015468569818
0,1,0,0,0,0.7,0.0,0.0,0.0599142114094
0,0,0,1,0,0.225,0.2,0.166666666667,0.0153303774214
0,1,0,0,1,0.625,0.0,0.0,0.0560430676214
0,0,1,0,0,0.375,0.0,0.0,0.0253743101115
0,0,0,1,0,0.45,0.0,0.0,0.0
0,0,0,1,0,0.1125,0.8,0.333333333333,0.0612643198943
1,0,1,0,0,0.0125,0.4,0.166666666667,0.0761229303346
1,0,0,1,1,0.05,0.0,0.333333333333,0.042989936939
1,1,0,0,0,0.5625,0.0,0.0,0.0518221487278
0,0,0,1,0,0.5,0.2,0.166666666667,0.030253985133
0,0,0,1,0,0.45,0.0,0.0,0.0154115752137
1,0,1,0,1,0.4,0.0,0.0,0.0253743101115
0,0,1,0,0,0.2375,0.0,0.0,0.0253743101115
1,0,0,1,1,0.2375,0.2,0.0,0.0153303774214
1,0,1,0,0,0.0375,0.2,0.166666666667,0.0507486202231
1,1,0,0,1,0.55,0.0,0.0,0.0541073981339
1,1,0,0,1,0.725,0.0,0.0,0.285989555153
0,0,0,1,0,0.525,0.0,0.166666666667,0.0164039059261
0,0,1,0,1,0.3,0.0,0.0,0.0253743101115
0,0,0,1,0,0.35,0.0,0.0,0.0185427650815
0,0,0,1,0,0.425,0.0,0.0,0.0126789572017
0,0,0,1,0,0.56875,0.0,0.0,0.014102260812
1,0,0,1,0,0.225,0.0,0.0,0.0157125535691
0,0,0,1,1,0.025,0.0,0.166666666667,0.0204214399648
0,0,0,1,0,0.4,0.2,0.0,0.030937139636
1,0,0,1,0,0.325,0.0,0.0,0.0366707577862
1,0,0,1,1,0.2,0.0,0.0,0.0151269925665
1,1,0,0,0,0.5,0.0,0.0,0.060507970266
0,0,0,1,0,0.3,0.0,0.0,0.0137606835605
1,0,1,0,1,0.4375,0.0,0.0,0.0409892701802
0,0,0,1,0,0.275,0.0,0.0,0.0141510575622
0,0,1,0,0,0.375,0.0,0.0,0.0253743101115
1,1,0,0,1,0.3875,0.2,0.0,0.221098075222
1,0,0,1,1,0.3375,0.0,0.0,0.015468569818
0,0,1,0,0,0.525,0.2,0.0,0.0527004902317
1,1,0,0,1,0.4,0.0,0.0,0.148911481134
0,0,1,0,0,0.375,0.0,0.0,0.0204946350901
1,0,0,1,0,0.2,0.0,0.0,0.0157125535691
0,0,1,0,0,0.3375,0.0,0.0,0.0253743101115
0,0,0,1,0,0.6375,0.0,0.0,0.0157125535691
1,1,0,0,0,0.475,0.2,0.0,0.175668300772
0,0,0,1,0,0.275,0.0,0.0,0.0182499845802
1,0,1,0,0,0.2375,0.0,0.0,0.0204946350901
0,0,0,1,0,0.25625,0.0,0.0,0.0141510575622
0,0,1,0,0,0.225,0.0,0.0,0.0253743101115
1,1,0,0,1,0.4375,0.2,0.0,0.162932348966
0,0,0,1,0,0.3625,0.0,0.0,0.0151757893167
0,0,1,0,0,0.7375,0.0,0.0,0.0263502451158
1,0,0,1,1,0.0625,0.8,0.333333333333,0.0612643198943
0,0,1,0,0,0.3,0.0,0.0,0.0204946350901
0,0,1,0,0,0.55,0.2,0.0,0.0507486202231
1,0,1,0,1,0.1,0.0,0.333333333333,0.0512365877252
0,0,1,0,0,0.2375,0.0,0.0,0.0204946350901
0,0,1,0,0,0.4125,0.0,0.0,0.0239592043553
0,0,1,0,0,0.3625,0.0,0.0,0.0204946350901
0,0,0,1,0,0.275,0.0,0.0,0.0139070738111
0,0,0,1,0,0.375,0.0,0.0,0.014102260812
0,1,0,0,0,0.55,0.4,0.0,0.175668300772
0,0,0,1,1,0.3125,0.0,0.0,0.0151757893167
1,0,1,0,1,0.3,0.0,0.333333333333,0.0283021151244
1,1,0,0,0,0.4625,0.2,0.166666666667,0.102578966805
0,0,1,0,0,0.675,0.2,0.0,0.0507486202231
0,0,0,1,1,0.3625,0.2,0.166666666667,0.0204214399648
0,1,0,0,0,0.775,0.0,0.0,0.0518221487278
0,0,0,1,0,0.375,0.2,0.0,0.0314251071381
0,0,0,1,1,0.5125,0.0,0.333333333333,0.0394521725484
1,0,0,1,1,0.3625,0.0,0.333333333333,0.0297578197768
1,1,0,0,1,0.375,0.0,0.0,0.168836755742
1,1,0,0,1,0.4375,0.0,0.0,1.0
1,0,1,0,1,0.625,0.0,0.166666666667,0.0507486202231
1,0,0,1,0,0.0375,0.8,0.333333333333,0.0612643198943
0,1,0,0,0,0.65,0.2,0.166666666667,0.155466446183
0,1,0,0,0,0.5,0.0,0.0,0.0
0,0,1,0,0,0.45,0.0,0.0,0.0204946350901
0,0,0,1,0,0.2,0.8,0.166666666667,0.0774648409655
1,0,0,1,0,0.3125,0.2,0.0,0.0151757893167
1,1,0,0,1,0.725,0.0,0.166666666667,0.299538851192
1,1,0,0,1,0.4375,0.0,0.0,0.264738570435
1,0,0,1,0,0.3125,0.0,0.0,0.0
1,0,1,0,1,0.5125,0.0,0.166666666667,0.0380614651673
0,1,0,0,0,0.4625,0.0,0.166666666667,0.0579705392548
1,1,0,0,1,0.7875,0.2,0.0,0.15216446769
0,0,0,1,1,0.5625,0.0,0.0,0.0151269925665
0,0,0,1,0,0.0875,0.8,0.166666666667,0.0568482139999
1,0,0,1,1,0.4375,0.2,0.166666666667,0.0395253676738
0,0,0,1,0,0.8125,0.0,0.0,0.0151269925665
0,0,0,1,0,0.35,0.0,0.0,0.0153303774214
0,0,0,1,0,0.2,0.0,0.0,0.0185427650815
1,0,0,1,0,0.2375,0.0,0.0,0.0157125535691
0,0,0,1,0,0.4125,0.0,0.0,0.0169080739493
1,0,0,1,0,0.375,0.0,0.0,0.0185427650815
0,0,0,1,0,0.275,0.0,0.0,0.0154115752137
1,0,1,0,0,0.525,0.0,0.0,0.0253743101115
1,0,0,1,1,0.275,0.0,0.0,0.0151269925665
1,1,0,0,1,0.325,0.0,0.0,0.153904950177
1,1,0,0,1,0.2375,0.2,0.0,0.177774758885
0,0,1,0,0,0.45,0.0,0.0,0.0251303263605
0,0,0,1,1,0.3,0.0,0.0,0.0172740495759
0,0,0,1,0,0.3,0.0,0.0,0.0154115752137
0,0,0,1,0,0.29375,0.0,0.0,0.014110458666
0,1,0,0,1,0.025,0.2,0.333333333333,0.2958058998
1,1,0,0,1,0.625,0.0,0.166666666667,0.48312842602
0,0,0,1,0,0.2375,0.0,0.0,0.0
1,1,0,0,0,0.0115,0.2,0.333333333333,0.2958058998
1,1,0,0,1,0.2125,0.2,0.0,0.212558643934
0,0,1,0,0,0.375,0.2,0.0,0.0468448802059
1,1,0,0,1,0.375,0.0,0.0,0.111118398092
1,1,0,0,1,0.3,0.0,0.0,0.162314191735
1,1,0,0,1,0.225,0.4,0.333333333333,0.512121893501
0,0,1,0,1,0.325,0.2,0.166666666667,0.0507486202231
0,0,0,1,0,0.35,0.0,0.0,0.0154115752137
0,0,1,0,0,0.5375,0.2,0.166666666667,0.0512365877252
1,0,0,1,1,0.325,0.0,0.0,0.0153303774214
1,0,1,0,1,0.3,0.2,0.0,0.0507486202231
0,0,1,0,0,0.675,0.0,0.0,0.0273261801201
1,1,0,0,1,0.3875,0.0,0.333333333333,0.321798367144
1,1,0,0,1,0.5,0.2,0.166666666667,0.262526516154
0,0,0,1,0,0.275,0.0,0.0,0.0141510575622
0,0,0,1,0,0.3375,0.0,0.0,0.0154115752137
1,0,1,0,1,0.375,0.0,0.0,0.024105594606
1,0,1,0,1,0.275,0.2,0.166666666667,0.0566042302488
1,1,0,0,1,0.45,0.0,0.0,0.264738570435
0,0,0,1,0,0.7625,0.0,0.0,0.0121747891785
1,0,1,0,1,0.45,0.0,0.0,0.0253743101115
1,0,0,1,1,0.3875,0.2,0.166666666667,0.0400621319261
1,1,0,0,1,0.2,0.0,0.166666666667,0.113167861601
0,1,0,0,0,0.56875,0.0,0.0,0.0556282952445
0,1,0,0,0,0.475,0.0,0.166666666667,0.299538851192
0,0,0,1,0,0.2,0.4,0.0,0.0351336601544
0,1,0,0,0,0.3625,0.2,0.0,0.129994542571
1,1,0,0,1,0.5125,0.0,0.0,0.262526516154
1,0,0,1,0,0.5625,0.0,0.0,0.0157125535691
0,1,0,0,0,0.5625,0.0,0.0,0.0692913853046
1,0,1,0,0,0.025,0.2,0.166666666667,0.0507486202231
1,1,0,0,1,0.3,0.6,0.333333333333,0.513341812257
0,0,1,0,0,0.35,0.0,0.0,0.0253743101115
0,0,1,0,0,0.3125,0.0,0.0,0.0253743101115
0,0,1,0,0,0.45,0.0,0.0,0.0253743101115
1,0,1,0,1,0.3,0.0,0.0,0.0253743101115
1,0,1,0,1,0.5,0.0,0.0,0.0253743101115
1,0,0,1,0,0.0375,0.2,0.166666666667,0.0310347331364
0,0,0,1,0,0.525,0.0,0.0,0.0169080739493
0,0,0,1,0,0.2875,0.0,0.0,0.0180060008292
0,0,0,1,0,0.1875,0.2,0.166666666667,0.014110458666
0,0,0,1,0,0.3125,0.2,0.0,0.0347432861527
0,0,0,1,0,0.35,0.0,0.0,0.0185427650815
1,1,0,0,1,0.275,0.0,0.166666666667,0.107352850472
0,0,1,0,1,0.475,0.0,0.0,0.0253743101115
0,0,0,1,0,0.5,0.2,0.666666666667,0.0544571732394
0,0,1,0,0,0.3625,0.2,0.0,0.0541073981339
0,0,0,1,1,0.5625,0.0,0.166666666667,0.028212719478
0,0,0,1,0,0.4375,0.0,0.0,0.0137606835605
0,0,0,1,0,0.375,0.0,0.0,0.0141510575622
1,1,0,0,1,0.75,0.2,0.0,0.146878218146
1,1,0,0,1,0.3,0.0,0.0,0.135264591595
1,1,0,0,0,0.3125,0.2,0.0,0.108214991455
0,0,0,1,0,0.225,0.2,0.0,0.0126789572017
0,0,0,1,0,0.2375,0.0,0.0,0.0157125535691
0,1,0,0,0,0.275,0.0,0.0,0.264738570435
0,0,0,1,1,0.0375,0.6,0.166666666667,0.0411356604308
1,0,0,1,1,0.275,0.0,0.0,0.0141510575622
0,1,0,0,0,0.3375,0.0,0.333333333333,0.412820506815
0,0,0,1,0,0.25,0.0,0.0,0.00783187840943
0,0,0,1,0,0.2375,0.0,0.0,0.0151757893167
1,1,0,0,1,0.525,0.0,0.0,0.444099223702
1,0,0,1,1,0.0125,0.0,0.333333333333,0.0307257521141
0,0,0,1,0,0.4,0.0,0.0,0.015468569818
1,1,0,0,1,0.4375,0.2,0.0,0.101497240446
0,0,1,0,0,0.225,0.0,0.0,0.143462445631
0,0,0,1,0,0.0125,1.0,0.333333333333,0.0915427034024
1,0,1,0,1,0.45,0.0,0.0,0.0253743101115
1,0,1,0,1,0.2125,0.0,0.0,0.023422440103
1,1,0,0,0,0.45,0.2,0.333333333333,0.23422440103
1,0,0,1,0,0.2625,0.0,0.0,0.0152163882129
0,0,0,1,0,0.35,0.4,0.0,0.015468569818
1,1,0,0,1,0.2875,0.2,0.0,0.221098075222
1,0,0,1,1,0.3,0.0,0.333333333333,0.0325962291433
0,0,0,1,0,0.275,0.0,0.0,0.0152163882129
0,0,0,1,1,0.3875,0.0,0.0,0.0153303774214
0,0,1,0,0,0.575,0.0,0.0,0.0507486202231
0,0,1,0,0,0.2875,0.0,0.0,0.0204946350901
1,0,1,0,1,0.35,0.0,0.0,0.0246911556085
1,0,0,1,0,0.4875,0.0,0.0,0.015468569818
0,0,0,1,0,0.325,0.0,0.0,0.0157125535691
0,0,0,1,1,0.2625,0.2,0.0,0.0191771228343
0,0,0,1,0,0.35,0.2,0.0,0.030937139636
0,0,0,1,1,0.25,0.0,0.0,0.0169080739493
0,0,1,0,0,0.425,0.2,0.0,0.0409892701802
0,0,0,1,0,0.6375,0.0,0.0,0.0151269925665
1,0,1,0,0,0.0375,0.2,0.166666666667,0.0365975626609
0,0,0,1,0,0.2625,0.0,0.0,0.0151757893167
1,1,0,0,1,0.4125,0.2,0.0,0.175668300772
1,0,0,1,0,0.55,0.0,0.0,0.015468569818
1,0,1,0,1,0.425,0.2,0.166666666667,0.0634357752789
1,0,1,0,1,0.225,0.0,0.333333333333,0.0253743101115
0,0,1,0,0,0.375,0.0,0.0,0.0253743101115
0,0,0,1,1,0.125,0.0,0.333333333333,0.0471376607072
0,0,0,1,0,0.2625,0.0,0.0,0.0150943963374
0,0,0,1,0,0.3625,0.0,0.0,0.0153709763176
0,0,0,1,1,0.35,0.2,0.166666666667,0.0281069281236
0,0,0,1,0,0.225,0.2,0.166666666667,0.0394521725484
1,0,1,0,1,0.35,0.2,0.0,0.0507486202231
1,0,1,0,1,0.2375,0.0,0.0,0.0507486202231
1,0,0,1,0,0.4,0.0,0.0,0.0157125535691
1,1,0,0,0,0.35,0.0,0.0,0.0518221487278
1,0,1,0,1,0.525,0.2,0.0,0.0507486202231
0,0,0,1,0,0.2125,0.0,0.0,0.0139070738111
0,1,0,0,0,0.625,0.2,0.0,0.10910953348
1,1,0,0,1,0.175,0.2,0.333333333333,0.23422440103
0,0,0,1,1,0.2625,0.4,0.333333333333,0.067095531545
1,0,1,0,1,0.3,0.4,0.5,0.0365975626609
0,1,0,0,0,0.8,0.2,0.666666666667,0.513341812257
0,0,1,0,0,0.3875,0.0,0.0,0.0204946350901
1,0,1,0,1,0.5625,0.2,0.166666666667,0.0512365877252
0,0,0,1,0,0.25,0.0,0.0,0.0185427650815
0,0,0,1,0,0.3125,0.2,0.0,0.0151757893167
1,0,1,0,1,0.35,0.0,0.0,0.0253743101115
1,1,0,0,0,0.05,0.0,0.333333333333,0.159776760723
1,0,1,0,1,0.1625,0.0,0.166666666667,0.0380614651673
1,1,0,0,0,0.425,0.0,0.0,0.0518221487278
1,0,0,1,1,0.0625,0.4,0.166666666667,0.0375896981862
1,1,0,0,0,0.65,0.0,0.0,0.0595320352617
0,0,1,0,0,0.45,0.2,0.333333333333,0.0541643927381
0,1,0,0,0,0.375,0.0,0.0,0.0541643927381
1,1,0,0,0,0.6125,0.2,0.0,0.173919815619
1,0,0,1,0,0.3625,0.0,0.0,0.0154115752137
0,1,0,0,0,0.8125,0.0,0.0,0.0518221487278
1,0,1,0,1,0.625,0.0,0.0,0.0204946350901
1,1,0,0,0,0.6,0.0,0.0,0.0518221487278
0,0,0,1,0,0.425,0.0,0.0,0.0157125535691
0,1,0,0,0,0.5875,0.0,0.0,0.0751469953303
0,0,1,0,0,0.6,0.0,0.0,0.0253743101115
0,0,0,1,0,0.475,0.0,0.0,0.0137606835605
0,1,0,0,0,0.7,0.0,0.0,0.0518221487278
1,0,0,1,1,0.009375,0.4,0.166666666667,0.0375896981862
0,0,0,1,0,0.475,0.0,0.0,0.0169080739493
1,0,1,0,1,0.4125,0.2,0.333333333333,0.0541643927381
1,0,1,0,1,0.2875,0.0,0.0,0.0269196055973
0,0,0,1,1,0.275,0.0,0.0,0.0192015212094
0,0,1,0,0,0.425,0.2,0.0,0.0409892701802
0,0,0,1,0,0.3625,0.2,0.0,0.0137524857065
0,0,0,1,0,0.275,0.0,0.0,0.0146796239605
1,0,0,1,1,0.025,0.0,0.166666666667,0.0239836027304
0,0,0,1,0,0.1125,1.0,0.333333333333,0.0915427034024
0,0,0,1,0,0.625,0.0,0.0,0.0157125535691
1,0,0,1,1,0.7875,0.0,0.0,0.0187135537073
1,1,0,0,0,0.3125,0.2,0.0,0.177774758885
1,1,0,0,1,0.4375,0.2,0.0,0.175668300772
0,1,0,0,0,0.725,0.0,0.0,0.0579705392548
0,0,0,1,0,0.375,0.0,0.0,0.0157125535691
1,0,0,1,0,0.1125,0.2,0.166666666667,0.0310347331364
0,0,0,1,0,0.2625,0.0,0.0,0.0141510575622
0,1,0,0,0,0.6875,0.0,0.0,0.0595320352617
0,1,0,0,0,0.8875,0.0,0.0,0.0966257632788
0,0,0,1,0,0.2625,0.0,0.0,0.0157125535691
1,1,0,0,1,0.675,0.2,0.0,0.152766424401
0,1,0,0,1,0.3125,0.2,0.333333333333,0.2958058998
0,0,0,1,0,0.3,0.0,0.0,0.0152163882129
0,0,0,1,0,0.2125,0.0,0.0,0.0169080739493
0,0,0,1,1,0.2625,0.0,0.0,0.0151269925665
0,0,0,1,1,0.4625,0.0,0.0,0.0187135537073
1,1,0,0,1,0.2,0.0,0.0,0.168836755742
0,1,0,0,0,0.225,0.2,0.0,0.212558643934
1,0,1,0,1,0.4125,0.0,0.333333333333,0.0507486202231
0,0,0,1,0,0.35,0.0,0.0,0.0439658719433
1,0,0,1,0,0.325,0.0,0.0,0.110272457631
1,0,0,1,0,0.3625,0.0,0.0,0.0151269925665
1,1,0,0,0,0.45,0.0,0.0,0.0513097828506
1,1,0,0,1,0.675,0.2,0.0,0.11594107851
0,0,0,1,0,0.3,0.0,0.0,0.0146308272103
0,1,0,0,0,0.5875,0.0,0.0,0.0664041791879
1,0,1,0,1,0.425,0.0,0.0,0.0204946350901
1,0,1,0,1,0.45,0.2,0.0,0.0507486202231
0,0,0,1,0,0.4,0.0,0.0,0.0154115752137
1,1,0,0,1,0.375,0.0,0.0,0.182499845802
0,0,0,1,0,0.275,0.0,0.0,0.0154115752137
1,1,0,0,1,0.55,0.0,0.166666666667,0.113167861601
0,0,0,1,0,0.50625,0.0,0.0,0.0151269925665
1,0,1,0,1,0.625,0.0,0.0,0.0204946350901
0,0,0,1,0,0.4875,0.0,0.0,0.015468569818
0,0,1,0,0,0.2875,0.4,0.166666666667,0.0224465050987
1,0,1,0,1,0.025,0.2,0.166666666667,0.0507486202231
0,0,0,1,0,0.2125,0.2,0.166666666667,0.014110458666
0,0,0,1,1,0.375,0.0,0.0,0.0169080739493
1,0,1,0,1,0.0875,0.0,0.333333333333,0.0512365877252
0,1,0,0,0,0.5625,0.0,0.0,0.0518221487278
1,1,0,0,1,0.375,0.0,0.0,0.207727765663
1,1,0,0,1,0.275,0.0,0.333333333333,0.0966175654247
1,1,0,0,1,0.45,0.0,0.333333333333,0.138582770609
0,0,0,1,1,0.1125,0.8,0.333333333333,0.0610447345184
0,0,0,1,1,0.1375,0.8,0.333333333333,0.0610447345184
1,0,1,0,0,0.4,0.2,0.0,0.0507486202231
0,1,0,0,0,0.625,0.2,0.0,0.207727765663
0,1,0,0,0,0.8,0.0,0.0,0.0507486202231
1,0,1,0,1,0.2375,0.2,0.0,0.0507486202231
0,0,0,1,0,0.4125,0.2,0.166666666667,0.0400621319261
1,0,1,0,0,0.1,0.2,0.166666666667,0.0717312228153
1,1,0,0,0,0.2125,0.0,0.333333333333,0.216429787722
0,0,1,0,0,0.3375,0.0,0.0,0.0507486202231
1,0,0,1,0,0.275,0.0,0.0,0.014102260812
1,0,0,1,1,0.275,0.0,0.0,0.0151757893167
0,1,0,0,0,0.775,0.0,0.0,0.0518221487278
1,1,0,0,1,0.6,0.2,0.0,0.0772940523398
1,1,0,0,1,0.4875,0.2,0.166666666667,0.155466446183
1,0,0,1,1,0.45,0.2,0.0,0.0339625381493
0,0,0,1,0,0.5,0.0,0.0,0.0154115752137
0,0,1,0,0,0.35,0.0,0.0,0.0263502451158
0,0,0,1,0,0.3,0.4,0.0,0.0471376607072
0,0,0,1,0,0.2375,0.0,0.0,0.0154115752137
